Date,Load
11/10/2012,16.2048
11/11/2012,16.8342
11/12/2012,16.596
11/13/2012,16.1826
11/14/2012,16.6716
11/15/2012,16.6572
11/16/2012,16.6638
11/17/2012,15.2586
11/18/2012,15.654
11/19/2012,15.5934
11/20/2012,15.3564
11/21/2012,15.6708
11/22/2012,15.0474
11/23/2012,14.0328
11/24/2012,14.5272
11/25/2012,14.4954
11/26/2012,16.7418
11/27/2012,17.0514
11/28/2012,16.137
11/29/2012,15.9612
11/30/2012,15.1872
12/1/2012,17.5062
12/2/2012,16.1826
12/3/2012,16.6476
12/4/2012,19.2948
12/5/2012,13.8642
12/6/2012,17.0622
12/7/2012,16.1646
12/8/2012,15.7254
12/9/2012,15.9198
12/10/2012,16.8876
12/11/2012,16.9482
12/12/2012,16.7322
12/13/2012,15.9834
12/14/2012,16.2378
12/15/2012,15.777
12/16/2012,15.4188
12/17/2012,16.2252
12/18/2012,14.8392
12/19/2012,15.2928
12/20/2012,15.5988
12/21/2012,14.148
12/22/2012,15.5136
12/23/2012,14.217
12/24/2012,14.4924
12/25/2012,15.0576
12/26/2012,13.506
12/27/2012,15.0444
12/28/2012,14.4924
12/29/2012,14.7888
12/30/2012,14.9292
12/31/2012,14.34
1/1/2013,15.144
1/2/2013,15.3516
1/3/2013,15.3936
1/4/2013,16.5684
1/5/2013,17.5188
1/6/2013,17.0718
1/7/2013,17.7318
1/8/2013,17.9484
1/9/2013,19.5594
1/10/2013,21.4722
1/11/2013,18.4842
1/12/2013,16.7088
1/13/2013,16.6566
1/14/2013,17.1846
1/15/2013,16.6932
1/16/2013,14.9814
1/17/2013,14.562
1/18/2013,15.3912
1/19/2013,15.0366
1/20/2013,15.1176
1/21/2013,14.2566
1/22/2013,15.645
1/23/2013,15.4692
1/24/2013,15.1236
1/25/2013,15.7488
1/26/2013,14.799
1/27/2013,15.7392
1/28/2013,18.0066
1/29/2013,14.2752
1/30/2013,14.667
1/31/2013,15.7218
2/1/2013,16.0356
2/2/2013,15.231
2/3/2013,16.3788
2/4/2013,15.7554
2/5/2013,15.696
2/6/2013,15.1158
2/7/2013,14.3832
2/8/2013,15.363
2/9/2013,14.3472
2/10/2013,13.887
2/11/2013,15.2064
2/12/2013,16.1004
2/13/2013,16.7946
2/14/2013,13.746
2/15/2013,14.7912
2/16/2013,14.6436
2/17/2013,15.7818
2/18/2013,14.712
2/19/2013,14.9628
2/20/2013,14.5644
2/21/2013,15.7236
2/22/2013,14.7846
2/23/2013,14.9124
2/24/2013,13.9848
2/25/2013,15.8382
2/26/2013,15.0588
2/27/2013,15.3138
2/28/2013,15.5058
3/1/2013,15.8766
3/2/2013,14.7606
3/3/2013,15.3234
3/4/2013,15.351
3/5/2013,15.9324
3/6/2013,15.5298
3/7/2013,15.2304
3/8/2013,15.3348
3/9/2013,15.2742
3/10/2013,12.393
3/11/2013,14.4762
3/12/2013,12.5082
3/13/2013,13.6746
3/14/2013,12.8352
3/15/2013,13.8834
3/16/2013,13.6368
3/17/2013,13.7112
3/18/2013,15.0648
3/19/2013,16.1424
3/20/2013,14.4306
3/21/2013,14.7936
3/22/2013,15.1086
3/23/2013,15.4344
3/24/2013,14.9688
3/25/2013,14.9766
3/26/2013,14.9148
3/27/2013,14.7642
3/28/2013,15.2646
3/29/2013,15.123
3/30/2013,14.67
3/31/2013,14.7822
4/1/2013,15.4476
4/2/2013,15.0264
4/3/2013,15.4776
4/4/2013,14.5776
4/5/2013,15.9342
4/6/2013,15.5538
4/7/2013,16.3608
4/8/2013,16.32
4/9/2013,15.9516
4/10/2013,16.9872
4/11/2013,16.0638
4/12/2013,14.3958
4/13/2013,14.2986
4/14/2013,16.0962
4/15/2013,15.6534
4/16/2013,15.789
4/17/2013,17.9058
4/18/2013,15.096
4/19/2013,15.843
4/20/2013,13.941
4/21/2013,15.576
4/22/2013,16.0428
4/23/2013,15.003
4/24/2013,15.6318
4/25/2013,15.2082
4/26/2013,15.8286
4/27/2013,15.0948
4/28/2013,15.129
4/29/2013,14.4942
4/30/2013,15.7236
5/1/2013,16.3944
5/2/2013,17.5986
5/3/2013,16.2018
5/4/2013,15.1086
5/5/2013,14.0532
5/6/2013,13.596
5/7/2013,14.4318
5/8/2013,15.138
5/9/2013,14.2566
5/10/2013,14.1024
5/11/2013,13.8102
5/12/2013,14.4948
5/13/2013,12.9954
5/14/2013,13.2606
5/15/2013,14.4174
5/16/2013,15.8904
5/17/2013,16.1868
5/18/2013,13.2066
5/19/2013,17.2896
5/20/2013,15.345
5/21/2013,16.0812
5/22/2013,17.946
5/23/2013,17.0856
5/24/2013,14.0004
5/25/2013,13.3056
5/26/2013,15.3774
5/27/2013,13.6584
5/28/2013,16.5492
5/29/2013,17.265
5/30/2013,16.5858
5/31/2013,17.1972
6/1/2013,14.5164
6/2/2013,14.2512
6/3/2013,13.2726
6/4/2013,15.8262
6/5/2013,16.5342
6/6/2013,18.2668
6/7/2013,17.142
6/8/2013,15.0042
6/9/2013,16.908
6/10/2013,15.4098
6/11/2013,16.6374
6/12/2013,20.6694
6/13/2013,21.3738
6/14/2013,19.41
6/15/2013,18.2724
6/16/2013,16.2174
6/17/2013,14.901
6/18/2013,16.449
6/19/2013,14.9172
6/20/2013,17.6484
6/21/2013,19.0842
6/22/2013,18.06
6/23/2013,15.3882
6/24/2013,16.0188
6/25/2013,16.1406
6/26/2013,16.0566
6/27/2013,15.237
6/28/2013,15.9204
6/29/2013,15.084
6/30/2013,14.5896
7/1/2013,14.9334
7/2/2013,14.9574
7/3/2013,17.553
7/4/2013,14.9088
7/5/2013,15.3276
7/6/2013,15.1218
7/7/2013,14.2704
7/8/2013,16.2486
7/9/2013,16.5474
7/10/2013,16.2768
7/11/2013,15.6108
7/12/2013,15.9108
7/13/2013,16.9782
7/14/2013,16.5366
7/15/2013,18.0714
7/16/2013,18.4704
7/17/2013,19.2972
7/18/2013,18.3294
7/19/2013,20.6106
7/20/2013,19.7628
7/21/2013,15.3864
7/22/2013,17.058
7/23/2013,16.1598
7/24/2013,17.6748
7/25/2013,14.8422
7/26/2013,17.1792
7/27/2013,15.9018
7/28/2013,15.9564
7/29/2013,15.9756
7/30/2013,15.5382
7/31/2013,17.604
8/1/2013,16.6284
8/2/2013,16.5924
8/3/2013,16.9734
8/4/2013,17.0154
8/5/2013,16.7166
8/6/2013,17.1
8/7/2013,18.5124
8/8/2013,19.1928
8/9/2013,18.8886
8/10/2013,18.525
8/11/2013,19.293
8/12/2013,19.4754
8/13/2013,20.01
8/14/2013,18.3216
8/15/2013,20.085
8/16/2013,20.2782
8/17/2013,19.7448
8/18/2013,19.7526
8/19/2013,21.159
8/20/2013,22.2774
8/21/2013,20.5872
8/22/2013,21.1638
8/23/2013,21.2484
8/24/2013,20.8764
8/25/2013,21.8394
8/26/2013,21.9948
8/27/2013,23.004
8/28/2013,22.3818
8/29/2013,22.6866
8/30/2013,23.4462
8/31/2013,21.1224
9/1/2013,19.4418
9/2/2013,18.7422
9/3/2013,21.141
9/4/2013,21.6294
9/5/2013,20.1102
9/6/2013,22.9116
9/7/2013,20.3934
9/8/2013,20.7762
9/9/2013,20.9406
9/10/2013,21.3066
9/11/2013,20.3658
9/12/2013,19.5924
9/13/2013,19.161
9/14/2013,18.378
9/15/2013,19.3236
9/16/2013,19.1274
9/17/2013,20.1378
9/18/2013,19.6752
9/19/2013,18.8088
9/20/2013,16.7862
9/21/2013,16.299
9/22/2013,16.8954
9/23/2013,15.213
9/24/2013,17.211
9/25/2013,17.1384
9/26/2013,18.1428
9/27/2013,18.0558
9/28/2013,16.5396
9/29/2013,16.6116
9/30/2013,15.1338
10/1/2013,17.046
10/2/2013,16.6698
10/3/2013,15.4368
10/4/2013,17.3382
10/5/2013,17.1378
10/6/2013,14.0592
10/7/2013,16.794
10/8/2013,15.72
10/9/2013,14.6628
10/10/2013,16.1706
10/11/2013,15.9552
10/12/2013,15.1836
10/13/2013,15.4908
10/14/2013,15.465
10/15/2013,15.7812
10/16/2013,16.389
10/17/2013,14.9712
10/18/2013,15.9684
10/19/2013,14.7678
10/20/2013,13.8156
10/21/2013,15.4386
10/22/2013,14.7222
10/23/2013,14.5344
10/24/2013,13.3812
10/25/2013,15.2916
10/26/2013,14.6598
10/27/2013,15.6756
10/28/2013,14.628
10/29/2013,15.087
10/30/2013,15.4962
10/31/2013,15.5304
11/1/2013,14.79
11/2/2013,15.912
11/3/2013,16.0188
11/4/2013,15.6348
11/5/2013,13.7568
11/6/2013,14.9004
11/7/2013,14.3922
11/8/2013,15.1782
11/9/2013,14.7732
11/10/2013,15.6852
11/11/2013,14.862
11/12/2013,15.816
11/13/2013,14.7672
11/14/2013,15.7194
11/15/2013,15.1872
11/16/2013,14.4486
11/17/2013,15.4764
11/18/2013,14.9022
11/19/2013,14.6712
11/20/2013,14.5392
11/21/2013,14.5698
11/22/2013,15.2544
11/23/2013,14.5602
11/24/2013,12.6972
11/25/2013,13.3908
11/26/2013,14.3334
11/27/2013,14.0274
11/28/2013,13.656
11/29/2013,12.9
11/30/2013,13.944
12/1/2013,13.1034
12/2/2013,14.8314
12/3/2013,15.0498
12/4/2013,14.5002
12/5/2013,15.8856
12/6/2013,14.337
12/7/2013,14.4378
12/8/2013,15.3018
12/9/2013,14.1072
12/10/2013,14.5326
12/11/2013,15.0036
12/12/2013,15.4554
12/13/2013,15.3144
12/14/2013,14.1372
12/15/2013,14.13
12/16/2013,15.1896
12/17/2013,14.9256
12/18/2013,14.9298
12/19/2013,14.8836
12/20/2013,13.9098
12/21/2013,14.0364
12/22/2013,13.2354
12/23/2013,13.5672
12/24/2013,12.9288
12/25/2013,13.3176
12/26/2013,12.4938
12/27/2013,13.014
12/28/2013,12.5616
12/29/2013,12.8856
12/30/2013,12.6018
12/31/2013,12.9546
1/1/2014,12.9024
1/2/2014,13.2402
1/3/2014,12.6984
1/4/2014,14.7132
1/5/2014,13.9686
1/6/2014,14.2608
1/7/2014,15.7038
1/8/2014,18.5274
1/9/2014,19.4856
1/10/2014,15.5568
1/11/2014,16.5456
1/12/2014,15.156
1/13/2014,15.108
1/14/2014,15.5562
1/15/2014,15.5826
1/16/2014,15.5826
1/17/2014,15.5442
1/18/2014,15.561
1/19/2014,14.7456
1/20/2014,14.1108
1/21/2014,16.143
1/22/2014,17.5392
1/23/2014,15.0588
1/24/2014,14.9292
1/25/2014,21.0258
1/26/2014,14.2986
1/27/2014,18.4506
1/28/2014,17.7564
1/29/2014,17.4804
1/30/2014,16.89
1/31/2014,15.8856
2/1/2014,20.3412
2/2/2014,15.3756
2/3/2014,16.5762
2/4/2014,18.0588
2/5/2014,16.8612
2/6/2014,14.9148
2/7/2014,16.92
2/8/2014,16.4544
2/9/2014,16.9428
2/10/2014,16.092
2/11/2014,16.5174
2/12/2014,16.9644
2/13/2014,16.3902
2/14/2014,16.0068
2/15/2014,16.1808
2/16/2014,16.1394
2/17/2014,15.798
2/18/2014,15.771
2/19/2014,15.1452
2/20/2014,19.0944
2/21/2014,13.653
2/22/2014,15.639
2/23/2014,16.461
2/24/2014,15.78
2/25/2014,15.7062
2/26/2014,16.0128
2/27/2014,15.2142
2/28/2014,15.4722
3/1/2014,16.5648
3/2/2014,14.8758
3/3/2014,16.6362
3/4/2014,14.7474
3/5/2014,15.7806
3/6/2014,15.4518
3/7/2014,16.332
3/8/2014,14.739
3/9/2014,15.6408
3/10/2014,16.2198
3/11/2014,17.553
3/12/2014,15.2352
3/13/2014,15.5334
3/14/2014,16.3254
3/15/2014,14.676
3/16/2014,15.2154
3/17/2014,14.1648
3/18/2014,14.718
3/19/2014,14.3412
3/20/2014,14.862
3/21/2014,14.0904
3/22/2014,14.85
3/23/2014,15.2604
3/24/2014,15.6006
3/25/2014,15.3552
3/26/2014,16.7544
3/27/2014,15.2544
3/28/2014,16.791
3/29/2014,13.7862
3/30/2014,15.4608
